[2026-04-27 23:08:02,815] [INFO] [logger] Logging initialized. Log file: logs\run_20260427_230802.log
[2026-04-27 23:08:03,416] [INFO] [main] Starting STT test with Deepgram SDK...
[2026-04-27 23:08:03,417] [INFO] [main] Loading Deepgram API key...
[2026-04-27 23:08:03,804] [INFO] [deepgram_client] Connecting to Deepgram...
[2026-04-27 23:08:04,846] [INFO] [deepgram_client] Deepgram connection opened
[2026-04-27 23:08:16,854] [ERROR] [deepgram_client] Deepgram error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
[2026-04-27 23:08:16,854] [WARNING] [deepgram_client] Deepgram connection closed
[2026-04-27 23:08:16,855] [INFO] [deepgram_client] Streaming audio to Deepgram... immediate
[2026-04-27 23:08:16,856] [INFO] [mic_stream] Starting microphone stream (blocking mode)...
[2026-04-27 23:08:17,432] [INFO] [mic_stream] Microphone stream started
[2026-04-27 23:08:17,509] [DEBUG] [deepgram_client] Sending audio chunk: 2048 bytes
[2026-04-27 23:08:17,509] [ERROR] [deepgram_client] Audio streaming error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
