[2026-04-27 20:44:50,934] [INFO] [logger] Logging initialized. Log file: logs\run_20260427_204450.log
[2026-04-27 20:44:51,375] [INFO] [main] Starting STT test with Deepgram SDK...
[2026-04-27 20:44:51,376] [INFO] [main] Loading Deepgram API key...
[2026-04-27 20:44:51,788] [INFO] [deepgram_client] Connecting to Deepgram...
[2026-04-27 20:44:52,714] [INFO] [deepgram_client] Deepgram connection opened
[2026-04-27 20:45:04,717] [ERROR] [deepgram_client] Deepgram error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
[2026-04-27 20:45:04,723] [WARNING] [deepgram_client] Deepgram connection closed
[2026-04-27 20:45:04,724] [INFO] [deepgram_client] Streaming audio to Deepgram... immediate
[2026-04-27 20:45:04,725] [INFO] [mic_stream] Starting microphone stream...
[2026-04-27 20:45:05,327] [INFO] [mic_stream] Microphone stream started
[2026-04-27 20:45:05,460] [DEBUG] [deepgram_client] Sending audio chunk: 3200 bytes
[2026-04-27 20:45:05,461] [ERROR] [deepgram_client] Error sending audio: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
