[2026-04-27 19:59:57,699] [INFO] [logger] Logging initialized. Log file: logs\run_20260427_195957.log
[2026-04-27 19:59:58,125] [INFO] [main] Starting STT test with Deepgram SDK...
[2026-04-27 19:59:58,126] [INFO] [main] Loading Deepgram API key...
[2026-04-27 19:59:58,628] [INFO] [deepgram_client] Connecting to Deepgram...
[2026-04-27 19:59:59,536] [INFO] [deepgram_client] Deepgram connection opened
[2026-04-27 20:00:11,538] [ERROR] [deepgram_client] Deepgram error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
[2026-04-27 20:00:11,543] [WARNING] [deepgram_client] Deepgram connection closed
[2026-04-27 20:00:11,543] [INFO] [deepgram_client] Waiting for connection ready...
[2026-04-27 20:00:11,543] [INFO] [deepgram_client] Streaming audio to Deepgram...
[2026-04-27 20:00:11,544] [INFO] [mic_stream] Starting microphone stream...
[2026-04-27 20:00:12,088] [INFO] [mic_stream] Microphone stream started
[2026-04-27 20:00:12,209] [ERROR] [deepgram_client] Error sending audio: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
