[2026-04-27 20:53:18,613] [INFO] [logger] Logging initialized. Log file: logs\run_20260427_205318.log
[2026-04-27 20:53:19,041] [INFO] [main] Starting STT test with Deepgram SDK...
[2026-04-27 20:53:19,042] [INFO] [main] Loading Deepgram API key...
[2026-04-27 20:53:19,490] [INFO] [deepgram_client] Connecting to Deepgram...
[2026-04-27 20:53:20,420] [INFO] [deepgram_client] Deepgram connection opened
[2026-04-27 20:53:32,423] [ERROR] [deepgram_client] Deepgram error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
[2026-04-27 20:53:32,428] [WARNING] [deepgram_client] Deepgram connection closed
[2026-04-27 20:53:32,428] [INFO] [deepgram_client] Streaming audio to Deepgram... immediate
[2026-04-27 20:53:32,429] [INFO] [mic_stream] Starting microphone stream...
[2026-04-27 20:53:33,010] [INFO] [mic_stream] Microphone stream started
[2026-04-27 20:53:33,143] [DEBUG] [deepgram_client] Sending audio chunk: 3200 bytes
[2026-04-27 20:53:33,144] [ERROR] [deepgram_client] Audio streaming error: received 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001; then sent 1011 (internal error) Deepgram did not receive audio data or a text message within the timeout window. See https://dpgr.am/net0001
